Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
15,4864650337,chriswoods_34,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Josh Jacobs,RB,1.28%,12.4
15,4864879951,Lalak91808,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Marvin Harrison Jr.,WR,1.25%,7.4
15,4864910361,gm99030507,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Mac Jones,QB,1.22%,14.26
15,4865089750,happygilmore49,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Terry McLaurin,WR,1.22%,10.4
15,4865173759,tribeTILLiDIE,0,193.88,DST Commanders  FLEX Jonathan Taylor QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Romeo Doubs,WR,1.22%,4.5
15,4865176660,The_Tron81,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Saints ,DST,1.16%,-2
15,4865218691,MisterJ5,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Cooper Kupp,WR,1.10%,5.1
15,4865255162,markertassel,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Titans ,DST,1.10%,-4
15,4865443091,Terper8,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jake Tonges,TE,1.10%,4.1
15,4865457885,00MusicGirl00,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Dontayvion Wicks,WR,1.09%,4.1
15,4865482614,srudberg02,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Dallas Goedert,TE,1.06%,10.3
15,4865516000,apacelli,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Tony Pollard,RB,1.04%,13.9
15,4865571263,drapp,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Calvin Ridley,WR,1.04%,3.7
15,4865582858,Sofisa1314,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jordan Love,QB,1.03%,12.12
15,4865604408,aybaybay,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Rams ,DST,1.03%,5
15,4865635361,randyb87,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Rhamondre Stevenson,RB,1.02%,6.6
15,4865712390,trey_hanna,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jalen Hurts,QB,0.93%,30.04
94,4863646271,aldub51,0,193.78,DST Vikings  FLEX Jonathan Taylor QB Marcus Mariota RB Saquon Barkley RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,Ashton Jeanty,RB,0.91%,6.3
95,4862846870,shacarey,0,193.4,DST Panthers  FLEX Jonathan Taylor QB Justin Herbert RB Christian McCaffrey RB Jordan Mason TE Juwan Johnson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,Jonnu Smith,TE,0.88%,5.3
96,4861402156,Stooopsy,0,192.78,DST Jaguars  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Jake Ferguson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,Chris Olave,WR,0.86%,15.7
97,4863837222,Bellringers,0,192.72,DST Broncos  FLEX Jaxon Smith-Njigba QB Daniel Jones RB Jonathan Taylor RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Ricky Pearsall WR Rome Odunze,,David Njoku,TE,0.81%,9
98,4862943246,Goat112377,0,192.48,DST Packers  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Jaxon Smith-Njigba WR Rome Odunze,,Jacory Croskey-Merritt,RB,0.81%,10.1
99,4862498474,fiasco510,0,192.22,DST Browns  FLEX Jordan Mason QB Drake Maye RB Christian McCaffrey RB Jonathan Taylor TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,Matthew Golden,FLEX,0.78%,10.1
100,4862850680,stewbomb,0,191.78,DST Commanders  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Jake Ferguson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,49ers ,DST,0.74%,5
