Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,lineup_rating
102,4854368249,spw724,0,174.86,DST Rams  FLEX Marvin Harrison Jr. QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Davante Adams,125.2
103,4854124391,Cf15,0,174.36,DST Rams  FLEX Jahmyr Gibbs QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Malik Nabers WR Jaxon Smith-Njigba WR Ricky Pearsall,125.7
103,4854157964,Payner66,0,174.36,DST Seahawks  FLEX CeeDee Lamb QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR Puka Nacua WR Jaxon Smith-Njigba WR Hollywood Brown,132.6
105,4852105304,brigante,0,174.34001,DST Rams  FLEX Breece Hall QB Dak Prescott RB Christian McCaffrey RB De'Von Achane TE Tyler Warren WR CeeDee Lamb WR Rome Odunze WR Elic Ayomanor,123.64999999999999
106,4852387556,PlayingHard,0,174.18,DST Saints  FLEX Rome Odunze QB Caleb Williams RB Christian McCaffrey RB Dylan Sampson TE Dalton Kincaid WR Ja'Marr Chase WR Puka Nacua WR Hollywood Brown,116.69999999999999
107,4852772702,Kapparino,0,174.16,DST Rams  FLEX James Conner QB Mac Jones RB Christian McCaffrey RB David Montgomery TE Harold Fannin Jr. WR CeeDee Lamb WR Puka Nacua WR Rome Odunze,130.90000000000003
108,4854146176,mhuber,0,174.04,DST 49ers  FLEX Ja'Tavion Sanders QB Jalen Hurts RB Jahmyr Gibbs RB TreVeyon Henderson TE Brenton Strange WR Ja'Marr Chase WR Malik Nabers WR Rome Odunze,101.79999999999998
109,4850416481,lenny_1880,0,173.96,DST Rams  FLEX Travis Etienne Jr. QB Mac Jones RB Derrick Henry RB Christian McCaffrey TE Juwan Johnson WR Puka Nacua WR Amon-Ra St. Brown WR Elic Ayomanor,129.25
110,4854096234,cshue82,0,173.92001,DST Steelers  FLEX James Cook QB Josh Allen RB Christian McCaffrey RB Jaylen Warren TE Harold Fannin Jr. WR Malik Nabers WR Khalil Shakir WR Rome Odunze,111.15
111,4853909879,daynnite,0,173.68001,DST Dolphins  FLEX Travis Etienne Jr. QB Caleb Williams RB Derrick Henry RB Christian McCaffrey TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Tetairoa McMillan WR Rome Odunze,121.39999999999999
112,4852267988,layinbody4life,0,173.66,DST Rams  FLEX Jahmyr Gibbs QB Mac Jones RB Christian McCaffrey RB Kyren Williams TE Harold Fannin Jr. WR Malik Nabers WR Jaxon Smith-Njigba WR Tetairoa McMillan,140.15
113,4852426788,cdoyle32,0,173.64,DST Steelers  FLEX Calvin Ridley QB Trevor Lawrence RB Christian McCaffrey RB Travis Etienne Jr. TE Juwan Johnson WR Ja'Marr Chase WR Brian Thomas Jr. WR Rome Odunze,126.89999999999999
114,4850079854,phialpha1569,0,173.46,DST Seahawks  FLEX De'Von Achane QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Calvin Ridley,137.95000000000002
115,4853285490,millerlite67,0,173.40001,DST Browns  FLEX Jonathan Taylor QB Drake Maye RB De'Von Achane RB Alvin Kamara TE David Njoku WR Malik Nabers WR Tee Higgins WR Jerry Jeudy,105.7
116,4854373545,kev0487,0,173.2,DST Rams  FLEX Chris Olave QB Drake Maye RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Hollywood Brown,141.95
117,4850585977,CDUB300,0,173.14,DST Saints  FLEX Ja'Marr Chase QB Daniel Jones RB Christian McCaffrey RB De'Von Achane TE Juwan Johnson WR Jaxon Smith-Njigba WR Hollywood Brown WR Calvin Ridley,127.20000000000002
118,4851509523,SeahawkFan29,0,173.1,DST Rams  FLEX Sam LaPorta QB Drake Maye RB Christian McCaffrey RB Travis Etienne Jr. TE Brenton Strange WR Ja'Marr Chase WR Malik Nabers WR Calvin Ridley,132.5
